@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}

@data
290,'2018/05/21 00:15:03:227',4,1356,1559,894,2
291,'2018/05/21 00:15:03:227',4,1353,1556,894,2
292,'2018/05/21 00:15:03:287',4,1357,1553,894,2
293,'2018/05/21 00:15:03:292',4,1357,1545,892,2
294,'2018/05/21 00:15:03:360',4,1355,1540,896,2
295,'2018/05/21 00:15:03:441',4,1355,1545,896,2
296,'2018/05/21 00:15:03:441',4,1357,1540,895,2
297,'2018/05/21 00:15:03:476',4,1361,1538,897,2
298,'2018/05/21 00:15:03:544',4,1372,1534,894,2
299,'2018/05/21 00:15:03:601',4,1382,1526,894,2
300,'2018/05/21 00:15:03:601',4,1381,1524,897,2
301,'2018/05/21 00:15:03:677',4,1385,1526,899,2
302,'2018/05/21 00:15:03:677',4,1384,1528,902,2
303,'2018/05/21 00:15:03:746',4,1381,1526,905,2
304,'2018/05/21 00:15:03:797',4,1380,1522,902,2
305,'2018/05/21 00:15:03:855',4,1385,1522,901,2
306,'2018/05/21 00:15:03:856',4,1389,1521,902,2
307,'2018/05/21 00:15:03:935',4,1392,1521,908,2
308,'2018/05/21 00:15:03:940',4,1395,1528,910,2
309,'2018/05/21 00:15:04:009',4,1401,1554,917,2
310,'2018/05/21 00:15:04:081',4,1399,1570,922,2
311,'2018/05/21 00:15:04:081',4,1396,1563,922,2
312,'2018/05/21 00:15:04:155',4,1399,1560,924,2
313,'2018/05/21 00:15:04:155',4,1392,1567,918,2
314,'2018/05/21 00:15:04:230',4,1390,1576,924,2
315,'2018/05/21 00:15:04:279',4,1385,1578,927,2
316,'2018/05/21 00:15:04:279',4,1383,1584,929,2
317,'2018/05/21 00:15:04:335',4,1378,1590,926,2
318,'2018/05/21 00:15:04:413',4,1380,1587,925,2
319,'2018/05/21 00:15:04:413',4,1386,1588,922,2
320,'2018/05/21 00:15:04:492',4,1383,1590,920,2
321,'2018/05/21 00:15:04:541',4,1386,1593,920,2
322,'2018/05/21 00:15:04:594',4,1387,1594,921,2
323,'2018/05/21 00:15:04:594',4,1394,1593,918,2
324,'2018/05/21 00:15:04:661',4,1397,1590,917,2
325,'2018/05/21 00:15:04:729',4,1404,1598,916,2
326,'2018/05/21 00:15:04:730',4,1415,1611,914,2
327,'2018/05/21 00:15:04:810',4,1418,1642,917,2
328,'2018/05/21 00:15:04:810',4,1423,1641,917,2
329,'2018/05/21 00:15:04:864',4,1418,1635,925,2
330,'2018/05/21 00:15:04:929',4,1408,1629,923,2
331,'2018/05/21 00:15:04:929',4,1402,1612,916,2
332,'2018/05/21 00:15:05:000',4,1401,1577,912,2
333,'2018/05/21 00:15:05:011',4,1412,1592,919,2
334,'2018/05/21 00:15:05:079',4,1414,1691,942,2
335,'2018/05/21 00:15:05:159',4,1408,1796,948,2
336,'2018/05/21 00:15:05:159',4,1398,1834,952,2
337,'2018/05/21 00:15:05:213',4,1388,1835,946,2
338,'2018/05/21 00:15:05:278',4,1385,1840,937,2
339,'2018/05/21 00:15:05:278',4,1383,1818,931,2
340,'2018/05/21 00:15:05:347',4,1381,1803,929,2
341,'2018/05/21 00:15:05:393',4,1379,1792,926,2
342,'2018/05/21 00:15:05:447',4,1385,1791,928,2
343,'2018/05/21 00:15:05:448',4,1384,1809,926,2
344,'2018/05/21 00:15:05:530',4,1383,1832,929,2
345,'2018/05/21 00:15:05:597',4,1388,1850,936,2
346,'2018/05/21 00:15:05:597',4,1388,1870,936,2
347,'2018/05/21 00:15:05:665',4,1381,1871,940,2
348,'2018/05/21 00:15:05:666',4,1376,1873,942,2
349,'2018/05/21 00:15:05:745',4,1372,1867,937,2
350,'2018/05/21 00:15:05:746',4,1367,1857,935,2
351,'2018/05/21 00:15:05:798',4,1364,1842,934,2
352,'2018/05/21 00:15:05:855',4,1360,1835,931,2
353,'2018/05/21 00:15:05:930',4,1351,1817,930,2
354,'2018/05/21 00:15:05:930',4,1356,1779,925,2
355,'2018/05/21 00:15:06:018',4,1350,1779,928,2
356,'2018/05/21 00:15:06:018',4,1348,1776,926,2
357,'2018/05/21 00:15:06:094',4,1352,1773,928,2
358,'2018/05/21 00:15:06:094',4,1351,1766,925,2
359,'2018/05/21 00:15:06:165',4,1350,1761,929,2
360,'2018/05/21 00:15:06:219',4,1353,1763,929,2
361,'2018/05/21 00:15:06:220',4,1349,1756,932,2
362,'2018/05/21 00:15:06:300',4,1346,1692,933,2
363,'2018/05/21 00:15:06:309',4,1345,1638,926,2
364,'2018/05/21 00:15:06:366',4,1352,1632,931,2
365,'2018/05/21 00:15:06:452',4,1354,1699,933,2
366,'2018/05/21 00:15:06:452',4,1356,1725,937,2
367,'2018/05/21 00:15:06:591',4,1351,1729,936,2
368,'2018/05/21 00:15:06:592',4,1350,1740,938,2
369,'2018/05/21 00:15:06:592',4,1350,1730,935,2
370,'2018/05/21 00:15:06:649',4,1347,1714,934,2
371,'2018/05/21 00:15:06:652',4,1351,1704,933,2
372,'2018/05/21 00:15:12:719',5,1315,895,1570,3
373,'2018/05/21 00:15:12:725',5,1312,892,1561,3
374,'2018/05/21 00:15:12:800',5,1310,892,1558,3
375,'2018/05/21 00:15:12:856',5,1313,892,1556,3
376,'2018/05/21 00:15:12:861',5,1315,890,1556,3
377,'2018/05/21 00:15:12:909',5,1316,892,1557,3
378,'2018/05/21 00:15:12:985',5,1315,891,1558,3
379,'2018/05/21 00:15:12:992',5,1312,893,1573,3
380,'2018/05/21 00:15:13:052',5,1311,896,1587,3
381,'2018/05/21 00:15:13:123',5,1306,893,1589,3
382,'2018/05/21 00:15:13:123',5,1308,891,1586,3
383,'2018/05/21 00:15:13:181',5,1307,888,1580,3
384,'2018/05/21 00:15:13:244',5,1301,886,1576,3
385,'2018/05/21 00:15:13:246',5,1294,885,1586,3
386,'2018/05/21 00:15:13:319',5,1291,885,1587,3
387,'2018/05/21 00:15:13:331',5,1285,884,1583,3
388,'2018/05/21 00:15:13:400',5,1285,882,1582,3
389,'2018/05/21 00:15:13:458',5,1282,882,1577,3
390,'2018/05/21 00:15:13:464',5,1278,881,1585,3
391,'2018/05/21 00:15:13:520',5,1273,881,1595,3
392,'2018/05/21 00:15:13:598',5,1271,880,1602,3
393,'2018/05/21 00:15:13:599',5,1266,879,1596,3
394,'2018/05/21 00:15:13:669',5,1269,877,1595,3
395,'2018/05/21 00:15:13:679',5,1273,876,1590,3
396,'2018/05/21 00:15:13:748',5,1275,887,1600,3
397,'2018/05/21 00:15:13:805',5,1280,906,1602,3
398,'2018/05/21 00:15:13:807',5,1279,915,1600,3
399,'2018/05/21 00:15:13:883',5,1278,913,1605,3
400,'2018/05/21 00:15:13:941',5,1282,909,1599,3
401,'2018/05/21 00:15:13:941',5,1283,904,1593,3
402,'2018/05/21 00:15:13:993',5,1285,899,1597,3
403,'2018/05/21 00:15:14:066',5,1288,899,1597,3
404,'2018/05/21 00:15:14:066',5,1285,897,1593,3
405,'2018/05/21 00:15:14:142',5,1285,895,1598,3
406,'2018/05/21 00:15:14:211',5,1282,895,1589,3
407,'2018/05/21 00:15:14:211',5,1285,891,1585,3
408,'2018/05/21 00:15:14:264',5,1289,889,1583,3
409,'2018/05/21 00:15:14:334',5,1292,887,1587,3
410,'2018/05/21 00:15:14:334',5,1292,887,1585,3
411,'2018/05/21 00:15:14:396',5,1291,888,1590,3
412,'2018/05/21 00:15:14:453',5,1293,889,1587,3
413,'2018/05/21 00:15:14:457',5,1289,888,1583,3
